cds_code,high_school,city,county,applicants_pre,admits_pre,enrollees_pre,applicant_gpa_pre,admit_gpa_pre,enrollee_gpa_pre,frpm_pct_pre,ag_completion_rate_pre,admit_rate_pre,yield_rate_pre,enrollment_rate_pre,enrollee_applicant_gpa_gap_pre,enrollee_admit_gpa_gap_pre,window_pre,applicants_post,admits_post,enrollees_post,applicant_gpa_post,admit_gpa_post,enrollee_gpa_post,frpm_pct_post,ag_completion_rate_post,admit_rate_post,yield_rate_post,enrollment_rate_post,enrollee_applicant_gpa_gap_post,enrollee_admit_gpa_gap_post,window_post,admit_rate_change,applicant_gpa_change,admit_gpa_change,enrollee_gpa_change,enrollee_applicant_gpa_gap_change,enrollee_admit_gpa_gap_change,yield_rate_change,post_minus_pre_score
38684783834082.0,MISSION SENIOR HIGH SCHOOL,San Francisco,San Francisco,302.0,185.0,122.0,3.8191,3.830103093,3.9679166669999995,0.5839896645576039,55.53333333333333,0.6125827814569537,0.6594594594594595,0.40397350993377484,0.1488166669999993,0.1378135739999995,Pre-test-blind (2017-2019),424.0,398.0,202.0,3.8191,3.830103093,3.967916667,0.5970893399958491,62.25,0.9386792452830188,0.507537688442211,0.47641509433962265,0.14881666699999974,0.13781357399999994,Post-test-blind (2022-2025),0.32609646382606516,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,-0.15192177101724846,6.714737163673828
38684783839081.0,GEORGE WASHINGTON HIGH SCHOOL,San Francisco,San Francisco,701.0,390.0,250.0,3.8965480430000006,3.949356223,4.051487603,0.5440706714076706,68.8,0.5563480741797432,0.6410256410256411,0.3566333808844508,0.15493955999999942,0.10213137999999988,Pre-test-blind (2017-2019),1155.0,870.0,517.0,3.896548043,3.949356223,4.051487603,0.4952967501689556,74.075,0.7532467532467533,0.5942528735632184,0.44761904761904764,0.15493955999999987,0.10213137999999988,Post-test-blind (2022-2025),0.19689867906701009,-4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,0.0,-0.04677276746242265,6.691658892993211
7100740114470.0,MAKING WAVES ACADEMY,Richmond,Contra Costa,132.0,68.0,41.0,3.7859375000000006,3.8098305079999997,3.924761905,0.8445868578297434,100.0,0.5151515151515151,0.6029411764705882,0.3106060606060606,0.13882440499999937,0.11493139700000032,Pre-test-blind (2017-2019),225.0,213.0,94.0,3.7859375,3.809830508,3.924761905,0.8055073853615843,96.125,0.9466666666666667,0.4413145539906103,0.4177777777777778,0.13882440499999982,0.11493139699999988,Post-test-blind (2022-2025),0.4315151515151515,-4.440892098500626e-16,4.440892098500626e-16,0.0,4.440892098500626e-16,-4.440892098500626e-16,-0.1616266224799779,6.472727272727273
1750930132704.0,DUBLIN HIGH SCHOOL,Dublin,Alameda,744.0,507.0,263.0,3.8599423079999995,3.8984334759999997,3.952692308,0.1021063714982706,71.26666666666667,0.6814516129032258,0.5187376725838264,0.353494623655914,0.09275000000000055,0.05425883200000037,Pre-test-blind (2017-2019),2023.0,1669.0,838.0,3.859942308,3.898433476,3.952692308,0.11201756455904831,80.05,0.8250123578843302,0.5020970641102457,0.41423628274839347,0.09275000000000011,0.054258831999999924,Post-test-blind (2022-2025),0.1435607449811045,4.440892098500626e-16,4.440892098500626e-16,0.0,-4.440892098500626e-16,-4.440892098500626e-16,-0.01664060847358073,6.457042497269831
38684783831765.0,GALILEO ACAD OF SCIENCE & TECH,San Francisco,San Francisco,628.0,349.0,220.0,3.83259434,3.9425000000000003,4.000707965,0.6993975460876868,68.03333333333335,0.5557324840764332,0.6303724928366762,0.3503184713375796,0.16811362500000016,0.058207964999999806,Pre-test-blind (2017-2019),921.0,696.0,407.0,3.83259434,3.9425,4.000707965,0.5947922719320407,68.175,0.755700325732899,0.5847701149425287,0.44191096634093374,0.16811362500000016,0.05820796500000025,Post-test-blind (2022-2025),0.19996784165646586,0.0,-4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,-0.04560237789414745,6.068620421372762
7618040113118.0,DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,1537.0,1140.0,576.0,3.845567485,3.890238908,3.968339623,0.0631623937907489,80.06666666666666,0.741704619388419,0.5052631578947369,0.3747560182173064,0.12277213799999975,0.07810071499999971,Pre-test-blind (2017-2019),2591.0,2218.0,1180.0,3.845567485,3.890238908,3.968339623,0.08112191688184686,74.125,0.8560401389424932,0.5320108205590622,0.45542261675028944,0.12277213799999975,0.07810071499999971,Post-test-blind (2022-2025),0.11433551955407417,0.0,0.0,0.0,0.0,0.0,0.026747662664325378,5.819891337742905
38684783833241.0,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,718.0,416.0,272.0,3.8974999999999995,4.005362319,4.101428571,0.5071557956914807,63.26666666666667,0.5793871866295265,0.6538461538461539,0.3788300835654596,0.20392857100000006,0.09606625199999996,Pre-test-blind (2017-2019),1049.0,778.0,502.0,3.8975,4.005362319,4.101428571,0.5107760335775812,62.474999999999994,0.7416587225929456,0.6452442159383034,0.47855100095328884,0.20392857099999961,0.09606625199999996,Post-test-blind (2022-2025),0.16227153596341914,4.440892098500626e-16,0.0,0.0,-4.440892098500626e-16,0.0,-0.008601937907850465,5.255694235944445
1612590137943.0,SKYLINE HIGH SCHOOL,Oakland,Alameda,331.0,181.0,137.0,3.849008264,3.989690722,4.076538462,0.7441866457526226,47.86666666666667,0.5468277945619335,0.7569060773480663,0.41389728096676737,0.22753019800000018,0.08684774000000006,Pre-test-blind (2017-2019),516.0,394.0,213.0,3.849008264,3.989690722,4.076538462,0.7507792534813721,67.65,0.7635658914728682,0.5406091370558376,0.4127906976744186,0.22753019800000018,0.08684774000000006,Post-test-blind (2022-2025),0.2167380969109347,0.0,0.0,0.0,0.0,0.0,-0.21629694029222868,4.923343149601503
43694274330692.0,EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,1034.0,692.0,393.0,3.8187654320000006,3.884011976,3.9550657890000003,0.17073318041113664,68.86666666666666,0.6692456479690522,0.5679190751445087,0.38007736943907156,0.13630035699999965,0.07105381300000024,Pre-test-blind (2017-2019),1711.0,1346.0,667.0,3.818765432,3.884011976,3.955065789,0.1837083371766155,75.65,0.7866744593804793,0.49554234769687966,0.3898305084745763,0.13630035699999965,0.0710538129999998,Post-test-blind (2022-2025),0.11742881141142714,-4.440892098500626e-16,0.0,-4.440892098500626e-16,0.0,-4.440892098500626e-16,-0.07237672744762902,4.85735304022627
1751010130583.0,AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,978.0,669.0,326.0,3.859924242,3.917963526,3.985342466,0.06388530913719641,74.56666666666666,0.6840490797546013,0.4872944693572496,0.3333333333333333,0.12541822400000013,0.06737894000000022,Pre-test-blind (2017-2019),1585.0,1274.0,584.0,3.859924242,3.917963526,3.985342466,0.0766387181021327,82.125,0.8037854889589905,0.45839874411302983,0.36845425867507886,0.12541822400000013,0.06737894000000022,Post-test-blind (2022-2025),0.11973640920438922,0.0,0.0,0.0,0.0,0.0,-0.028895725244219794,4.766952924806379
