high_school,city,county,graduates,ag_completion_rate,applicants,admits,admit_rate,frpm_pct,expected_admit_rate,admit_rate_residual,opportunity_score
CLAYTON VALLEY CHARTER HIGH SCHOOL,Concord,Contra Costa,554.0,97.8,186.0,125.0,0.6720430107526881,0.2233459755583649,0.7875022319386564,-0.1154592211859683,18274.39
REDWOOD HIGH SCHOOL,Larkspur,Marin,410.0,88.8,258.0,164.0,0.6356589147286822,0.0818815331010452,0.7435955295253388,-0.10793661479665662,10103.31
SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa,439.0,69.9,188.0,113.0,0.601063829787234,0.0569744597249508,0.7033274583482836,-0.10226362856104954,7858.54
DUBLIN HIGH SCHOOL,Dublin,Alameda,810.0,82.3,520.0,466.0,0.8961538461538462,0.1692529772645254,0.7660775159159078,0.1300763302379384,7332.23
LIBERTY HIGH SCHOOL,Brentwood,Contra Costa,594.0,52.4,110.0,71.0,0.6454545454545455,0.3568406205923836,0.6938596245453464,-0.04840507909080094,6814.16
LOWELL HIGH SCHOOL,San Francisco,San Francisco,587.0,83.1,443.0,373.0,0.8419864559819413,0.425126409957215,0.7681713234513309,0.07381513253061045,6344.35
BERKELEY HIGH SCHOOL,Berkeley,Alameda,774.0,69.9,474.0,395.0,0.8333333333333334,0.2479801118707271,0.7369561764920323,0.0963771568413011,6135.01
DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,824.0,72.6,654.0,588.0,0.8990825688073395,0.0812767357683448,0.7395096853822964,0.15957288342504306,6074.92
SUMMIT PUBLIC SCHOOL K2,El Cerrito,Contra Costa,75.0,98.7,45.0,23.0,0.5111111111111111,0.8194945848375451,0.7488087862273548,-0.23769767511624373,5819.88
EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,665.0,77.9,406.0,334.0,0.8226600985221675,0.2241953385127636,0.7520860410820093,0.07057405744015821,5734.14
CASTRO VALLEY HIGH SCHOOL,Castro Valley,Alameda,655.0,68.2,306.0,234.0,0.7647058823529411,0.4004871259568545,0.7345158460880614,0.030190036264879705,5482.29
AMERICAN HIGH SCHOOL,Fremont,Alameda,597.0,76.4,409.0,373.0,0.9119804400977995,0.2494270435446906,0.7405177583368998,0.17146268176089974,5399.08
JAMES LOGAN HIGH SCHOOL,Union City,Alameda,743.0,52.4,232.0,185.0,0.7974137931034483,0.5277777777777778,0.7115082231805442,0.0859055699229041,5313.77
OAKLAND TECHNICAL HIGH SCHOOL,Oakland,Alameda,422.0,79.9,264.0,215.0,0.8143939393939394,0.7019867549668874,0.7622764639048439,0.05211747548909551,5165.39
AMADOR VALLEY HIGH SCHOOL,Pleasanton,Alameda,637.0,80.7,397.0,330.0,0.8312342569269522,0.0824622531939605,0.747098837889895,0.08413541903705724,5055.60
MILPITAS HIGH SCHOOL,Milpitas,Santa Clara,650.0,59.2,284.0,238.0,0.8380281690140845,0.4395078605604921,0.7171742777559614,0.12085389125812307,5053.06
MOUNTAIN VIEW HIGH SCHOOL,Mountain View,Santa Clara,554.0,83.2,341.0,254.0,0.7448680351906158,0.1266575217192501,0.7477547161394642,-0.0028866809488483636,4756.74
GEORGE WASHINGTON HIGH SCHOOL,San Francisco,San Francisco,476.0,72.5,284.0,235.0,0.8274647887323944,0.5183752417794971,0.7388229232280626,0.08864186550433173,4748.48
LOS ALTOS HIGH SCHOOL,Los Altos,Santa Clara,527.0,83.5,333.0,274.0,0.8228228228228228,0.1654377880184331,0.7473318208913273,0.0754910019314955,4638.76
HOMESTEAD HIGH SCHOOL,Cupertino,Santa Clara,565.0,77.2,369.0,297.0,0.8048780487804879,0.1591726618705036,0.7338773602489487,0.07100068853153918,4524.20
CALIFORNIA HIGH SCHOOL,San Ramon,Contra Costa,709.0,63.6,381.0,325.0,0.8530183727034121,0.0874222529371112,0.7093617123814521,0.14365666032196,4504.70
PITTSBURG HIGH SCHOOL,Pittsburg,Contra Costa,737.0,39.2,135.0,99.0,0.7333333333333333,0.7925359976491331,0.6975424699093826,0.03579086342395066,4467.24
CARLMONT HIGH SCHOOL,Belmont,San Mateo,578.0,77.7,361.0,279.0,0.7728531855955678,0.0932203389830508,0.7324875244753628,0.04036566112020501,4317.12
PALO ALTO SENIOR HIGH SCHOOL,Palo Alto,Santa Clara,457.0,94.1,341.0,265.0,0.7771260997067448,0.1332628239026969,0.7625098889428005,0.01461621076394437,4296.03
CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,481.0,84.4,331.0,306.0,0.9244712990936556,0.1022222222222222,0.7394686638871665,0.18500263520648907,4270.54
SILVER CREEK HIGH SCHOOL,San Jose,Santa Clara,510.0,65.5,176.0,136.0,0.7727272727272727,0.4460028050490883,0.7223172300375169,0.050410042689755796,4258.91
MISSION SAN JOSE HIGH SCHOOL,Fremont,Alameda,417.0,91.6,357.0,317.0,0.8879551820728291,0.1800445930880713,0.759733691203718,0.12822149086911105,4215.15
IRVINGTON HIGH SCHOOL,Fremont,Alameda,507.0,70.0,367.0,338.0,0.9209809264305178,0.2466388502549837,0.7203896396055265,0.20059128682499128,4205.57
SAN LEANDRO HIGH SCHOOL,San Leandro,Alameda,550.0,48.7,155.0,123.0,0.7935483870967742,0.7533864541832669,0.7028208279509071,0.09072755914586716,4187.28
ALAMEDA HIGH SCHOOL,Alameda,Alameda,449.0,77.1,244.0,209.0,0.8565573770491803,0.30406852248394,0.732498254206139,0.12405912284304133,4161.09
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,466.0,65.2,269.0,208.0,0.7732342007434945,0.5453230472516876,0.7215982500898107,0.05163595065368376,4125.98
FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,491.0,83.1,304.0,264.0,0.868421052631579,0.0885200553250345,0.7407670217196303,0.1276540309119487,4118.28
MONTA VISTA HIGH SCHOOL,Cupertino,Santa Clara,434.0,92.4,370.0,337.0,0.9108108108108108,0.0595092024539877,0.752926675436927,0.1578841353738838,4021.87
BRANHAM HIGH SCHOOL,San Jose,Santa Clara,460.0,74.1,189.0,150.0,0.7936507936507936,0.3142857142857143,0.7279498317954831,0.06570096185531049,3995.39
LOS GATOS HIGH SCHOOL,Los Gatos,Santa Clara,506.0,83.8,292.0,223.0,0.7636986301369864,0.0684430512016718,0.7419374441586344,0.02176118597835197,3967.70
HERITAGE HIGH SCHOOL,Brentwood,Contra Costa,568.0,64.1,158.0,112.0,0.7088607594936709,0.1944660950896336,0.71240135532135,-0.0035405958276790717,3961.70
LEIGH HIGH SCHOOL,San Jose,Santa Clara,459.0,78.4,242.0,204.0,0.8429752066115702,0.179936305732484,0.72981539050957,0.11315981610200021,3886.39
ANGELO RODRIGUEZ HIGH SCHOOL,Fairfield,Solano,505.0,61.8,150.0,121.0,0.8066666666666666,0.379441023211748,0.7041262520143307,0.10254041465233599,3870.25
TAMALPAIS HIGH SCHOOL,Mill Valley,Marin,414.0,87.0,271.0,199.0,0.7343173431734318,0.1176870748299319,0.7399602066528107,-0.005642863479378923,3855.65
HENRY M GUNN SENIOR HIGH SCHL,Palo Alto,Santa Clara,421.0,91.4,325.0,260.0,0.8,0.1168594035301278,0.7519212743953613,0.04807872560463877,3835.18
VACAVILLE HIGH SCHOOL,Vacaville,Solano,492.0,60.2,79.0,61.0,0.7721518987341772,0.4540117416829745,0.7040947556723777,0.06805714306179955,3805.75
ARAGON HIGH SCHOOL,San Mateo,San Mateo,437.0,80.8,250.0,214.0,0.856,0.1682750301568154,0.7323886060751519,0.1236113939248481,3801.02
PIEDMONT HILLS HIGH SCHOOL,San Jose,Santa Clara,478.0,67.2,198.0,157.0,0.7929292929292929,0.3013555787278415,0.7152319914491265,0.0776973014801664,3724.27
LYNBROOK HIGH SCHOOL,San Jose,Santa Clara,397.0,93.2,342.0,300.0,0.8771929824561403,0.0652173913043478,0.7488009090304562,0.12839207342568415,3665.14
GALILEO ACAD OF SCIENCE & TECH,San Francisco,San Francisco,370.0,66.8,214.0,178.0,0.8317757009345794,0.6291428571428571,0.7239151536352104,0.107860547299369,3655.97
FREEDOM HIGH SCHOOL,Oakley,Contra Costa,567.0,52.0,86.0,66.0,0.7674418604651163,0.3930894308943089,0.6908646563864196,0.07657720407869673,3619.19
FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,491.0,65.6,190.0,157.0,0.8263157894736842,0.237378640776699,0.7069130597828946,0.11940272969078958,3617.97
MENLO ATHERTON HIGH SCHOOL,Atherton,San Mateo,487.0,65.5,233.0,167.0,0.7167381974248928,0.329935125115848,0.7130244294781701,0.0037137679467226237,3614.85
INDEPENDENCE HIGH SCHOOL,San Jose,Santa Clara,494.0,55.3,112.0,89.0,0.7946428571428571,0.4696373962429008,0.7001397653370267,0.09450309180583039,3587.78
SANTA TERESA HIGH SCHOOL,San Jose,Santa Clara,507.0,62.1,159.0,125.0,0.7861635220125787,0.2788191190253046,0.703594178547793,0.08256934346478562,3577.68
WASHINGTON HIGH SCHOOL,Fremont,Alameda,451.0,61.6,186.0,164.0,0.8817204301075269,0.3643331630045989,0.7031918787723643,0.17852855133516254,3542.30
GRANADA HIGH SCHOOL,Livermore,Alameda,524.0,64.9,162.0,130.0,0.8024691358024691,0.1567717996289425,0.7005589457668374,0.10191019003563173,3528.48
OAKLAND HIGH SCHOOL,Oakland,Alameda,301.0,66.8,125.0,100.0,0.8,0.902469917669411,0.7330193504345726,0.06698064956542749,3421.33
WESTMONT HIGH SCHOOL,Campbell,Santa Clara,392.0,70.2,149.0,113.0,0.7583892617449665,0.4197384066587395,0.7173057341493537,0.041083527595612734,3416.32
VANDEN HIGH SCHOOL,Fairfield,Solano,423.0,49.2,80.0,52.0,0.65,0.410790925812385,0.670316495957684,-0.020316495957684033,3393.41
CITY ARTS AND LEADERSHIP ACADEMY,San Francisco,San Francisco,113.0,100.0,34.0,23.0,0.6764705882352942,0.5289672544080605,0.7433618182862213,-0.06689123005092712,3375.56
IMPACT ACAD ARTS/TECHNOLOGY,Hayward,Alameda,88.0,100.0,40.0,25.0,0.625,0.5279329608938548,0.727473186515024,-0.10247318651502402,3316.31
LAS LOMAS HIGH SCHOOL,Walnut Creek,Contra Costa,421.0,78.9,202.0,149.0,0.7376237623762376,0.1540900443880786,0.7252657787288055,0.012357983647432125,3310.36
YERBA BUENA HIGH SCHOOL,San Jose,Santa Clara,413.0,54.2,118.0,98.0,0.8305084745762712,0.6191066997518611,0.6913266528268159,0.13918182174945526,3299.67
MONTE VISTA HIGH SCHOOL,Danville,Contra Costa,512.0,68.4,295.0,232.0,0.7864406779661017,0.0538687561214495,0.7061128233250302,0.0803278546410715,3268.87
